Time (ms),User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq,User Id,Global body mq,Upper body mq,Left arm mq,Right arm mq,Head mq,Left Hand mq,Right Hand mq
3734,0.000000,12.993028,12.993028,1.931774,7.817066,1.473775,0.424422,6.429267,1.000000,4.095672,4.095672,1.105016,1.612061,0.324616,0.000000,0.049544
3850,0.000000,11.049223,11.049223,3.806082,3.483808,1.314462,2.247873,2.102732,1.000000,17.775860,17.775860,10.669394,5.802356,0.378859,0.000000,0.060867
3970,0.000000,15.136471,15.136471,2.164780,10.724586,0.892073,1.128195,9.453493,1.000000,6.768149,6.768149,2.988040,3.216012,0.267944,0.000000,0.045995
4070,0.000000,60.802986,60.802986,5.184223,53.610859,0.918859,4.534297,35.410332,1.000000,17.243708,17.243708,13.166005,3.237362,0.135604,0.000000,0.027417
4170,0.000000,31.403801,31.403801,3.900560,26.267853,0.412635,3.400398,6.864841,1.000000,11.852152,11.852152,7.959097,3.398004,0.100269,0.000000,0.062723
4270,0.000000,33.449795,33.449795,1.620216,30.634912,0.213859,1.383941,5.401934,1.000000,9.191645,9.191645,5.908492,2.990159,0.081963,0.000000,0.051324
4366,0.000000,13.362982,13.362982,0.917563,11.322662,0.101233,0.747392,2.405595,1.000000,6.182084,6.182084,3.080840,2.909082,0.068547,0.000000,0.035275
4575,0.000000,310.894165,310.894165,174.264130,76.409935,14.610524,70.870743,27.646212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4734,0.000000,295.557678,295.557678,174.003555,64.126419,13.354270,70.332764,22.332443,1.000000,33.979172,33.979172,30.734842,2.370991,0.083483,0.000000,0.045574
4802,0.000000,13.878964,13.878964,3.708396,6.283940,1.167006,0.816399,2.085486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4900,0.000000,142.367737,142.367737,85.448380,32.876244,4.832322,34.521301,11.649099,1.000000,81.733536,81.733536,73.084122,8.090361,0.206924,33.810673,2.054250
4998,0.000000,138.818146,138.818146,83.988556,32.878609,3.883220,33.673271,12.581966,1.000000,41.343555,41.343555,33.122887,8.007035,0.108127,11.206642,0.718545
5100,0.000000,98.612518,98.612518,54.722015,30.234116,2.896940,22.066467,13.530247,1.000000,7.022526,7.022526,2.391150,4.424398,0.111984,0.000000,0.764748
5234,0.000000,111.109932,111.109932,55.329704,42.008842,3.257601,21.534338,15.455291,1.000000,10.574394,10.574394,9.298442,1.079645,0.099997,0.000000,0.463735
5350,0.000000,14.273310,14.273310,7.096262,4.003816,1.677255,3.211684,0.000000,1.000000,9.613738,9.613738,5.860843,3.597591,0.082369,0.000000,0.211710
5466,0.000000,20.603809,20.603809,3.143569,12.509493,2.817243,2.553906,0.000000,1.000000,73.020653,73.020653,66.151627,6.767321,0.061213,0.000000,0.112710
5566,0.000000,42.849113,42.849113,26.101788,6.711617,5.208359,2.808872,0.000000,1.000000,31.042992,31.042992,20.669168,9.964061,0.038157,0.000000,1.878699
5666,0.000000,107.980316,107.980316,91.617737,7.807120,3.771545,31.964281,0.000000,1.000000,66.993713,66.993713,63.127701,3.375412,0.030414,18.046574,0.475575
5750,0.000000,32.408638,32.408638,10.115221,11.181191,3.679755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5900,0.000000,152.814865,152.814865,91.471748,33.005302,9.517361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6000,0.000000,150.776321,150.776321,71.202408,43.648857,10.683746,0.000000,0.000000,1.000000,47.565449,47.565449,41.780762,5.132159,0.112713,15.204872,1.184981
6134,0.000000,22.952587,22.952587,15.732906,2.653361,2.087120,0.000000,0.000000,1.000000,43.599602,43.599602,37.176918,6.261773,0.027021,17.510124,0.141309
6234,0.000000,11.754193,11.754193,2.471281,1.074237,2.087461,0.000000,0.000000,1.000000,46.218048,46.218048,40.396011,5.705544,0.011125,21.857447,0.098193
6334,0.000000,8.888978,8.888978,2.137844,0.995430,1.632013,0.000000,0.000000,1.000000,19.122522,19.122522,15.093786,3.930474,0.006279,8.093548,0.088998
6402,0.000000,5.485103,5.485103,1.783170,1.045155,0.874020,0.000000,0.000000,1.000000,4.830388,4.830388,3.586555,1.166986,0.003751,0.000000,0.081362
6502,0.000000,4.943634,4.943634,1.839022,0.787878,1.304885,0.000000,0.000000,1.000000,15.276455,15.276455,5.105644,10.096506,0.002398,0.000000,0.055091
6598,0.000000,5.085161,5.085161,1.524693,1.506306,0.700510,0.000000,0.000000,1.000000,14.516344,14.516344,8.061259,6.387295,0.001906,3.607592,0.044373
6700,0.000000,3.633499,3.633499,1.440940,0.818609,0.413344,0.000000,0.000000,1.000000,17.405249,17.405249,9.337568,7.505779,0.002776,4.824522,2.420692
6834,0.000000,13.166186,13.166186,11.080847,1.321925,0.281235,0.000000,0.000000,1.000000,20.238325,20.238325,18.057140,1.832551,0.018282,6.490546,0.321450
6900,0.000000,111.338264,111.338264,65.740295,16.456932,7.011415,0.000000,0.000000,1.000000,9.368085,9.368085,2.231878,7.032621,0.020079,0.000000,1.159768
7000,0.000000,49.830208,49.830208,10.843426,24.400841,3.593456,0.000000,8.898899,1.000000,8.080995,8.080995,4.465457,3.498810,0.078280,0.000000,0.716724
7100,0.000000,14.243163,14.243163,0.322792,10.489800,0.878181,0.000000,2.019460,1.000000,10.918898,10.918898,7.885321,2.841977,0.152157,4.338336,0.337936
7200,0.000000,31.360275,31.360275,2.308038,17.890625,2.400595,0.000000,6.700949,1.000000,13.771254,13.771254,12.575652,0.977019,0.130487,4.815913,0.166294
7298,0.000000,194.523575,194.523575,114.337250,43.725807,8.819981,49.455757,16.025921,1.000000,68.482742,68.482742,65.511665,2.582786,0.112244,32.312950,0.102823
7400,0.000000,46.380867,46.380867,30.968334,11.059218,2.005913,16.459240,0.000000,1.000000,20.638113,20.638113,13.313010,6.735124,0.105581,5.755052,0.081714
7500,0.000000,265.294586,265.294586,160.130051,60.317375,11.625714,64.619461,21.882296,1.000000,33.795578,33.795578,25.934193,7.129996,0.080032,15.047298,0.040971
7630,0.000000,186.451141,186.451141,87.665802,50.718636,12.906778,34.615612,15.742723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7730,0.000000,18.134832,18.134832,3.894470,12.586917,0.595855,1.223851,3.090209,1.000000,13.485541,13.485541,6.958669,5.454376,0.168970,3.030375,0.029929
7830,0.000000,25.413681,25.413681,14.254194,8.381671,0.903391,2.356804,4.280978,1.000000,12.523007,12.523007,9.572805,2.467701,0.112236,0.000000,0.007182
7930,0.000000,23.711662,23.711662,4.523900,13.507090,1.934797,1.364768,8.902667,1.000000,22.034788,22.034788,9.741056,11.410003,0.128439,0.000000,3.164464
7998,0.000000,23.857983,23.857983,5.714802,12.293659,2.285288,0.519357,9.366426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8098,0.000000,15.871541,15.871541,5.580759,4.646592,1.811329,0.705278,2.011274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8200,0.000000,10.670630,10.670630,3.952024,2.425728,1.359838,0.965867,0.890785,1.000000,25.024708,25.024708,1.392482,20.030281,0.424176,0.000000,2.490722
8330,0.000000,15.679592,15.679592,2.424045,10.458469,0.989844,0.490991,3.052038,1.000000,18.879526,18.879526,0.808324,16.161261,0.101378,0.000000,0.201764
8430,0.000000,20.472950,20.472950,1.490213,17.393175,0.500254,0.237172,7.168652,1.000000,16.165337,16.165337,0.538436,10.382084,0.083481,0.000000,0.113015
8530,0.000000,6.922160,6.922160,1.228091,4.406921,0.359682,0.170881,1.708852,1.000000,8.389428,8.389428,0.439827,3.228839,0.068862,0.000000,0.060977
8600,0.000000,125.759346,125.759346,74.040848,30.676510,5.295327,28.124989,6.575634,1.000000,6.068690,6.068690,0.361908,2.633544,0.054463,0.000000,0.037436
8700,0.000000,41.477749,41.477749,24.729401,8.281528,2.830840,9.250167,4.967834,1.000000,3.093738,3.093738,0.269289,1.925917,0.042233,0.000000,0.022992
8800,0.000000,21.349106,21.349106,0.697637,15.681900,2.399568,0.000000,9.354348,1.000000,4.107852,4.107852,0.193529,2.454500,0.033714,0.000000,0.012276
8900,0.000000,170.414154,170.414154,100.687790,41.029022,8.370664,37.876041,17.154285,1.000000,3.236407,3.236407,0.150525,1.913561,0.149390,0.000000,0.007164
9026,0.000000,38.283852,38.283852,3.781208,33.112808,0.632399,2.015314,18.168541,1.000000,2.101687,2.101687,0.236410,0.997063,0.349880,0.000000,0.046836
9126,0.000000,16.501163,16.501163,2.793123,11.873767,0.811885,1.006734,8.883326,1.000000,1.834805,1.834805,0.176578,0.366510,0.522867,0.000000,0.042667
9200,0.000000,127.733536,127.733536,76.159790,26.677582,7.357120,28.714190,6.117844,1.000000,1.748599,1.748599,0.190602,0.375629,0.513629,0.000000,0.081152
9326,0.000000,117.242134,117.242134,78.228378,15.577118,6.318475,30.226057,4.994134,1.000000,2.149509,2.149509,0.362547,0.945614,0.393192,0.000000,0.171504
9426,0.000000,9.873947,9.873947,2.172566,6.642392,0.397915,1.409360,3.032406,1.000000,2.399815,2.399815,0.326475,0.907328,0.288370,0.000000,0.092796
9494,0.000000,4.801760,4.801760,2.886875,1.132914,0.365098,0.884433,0.964891,1.000000,4.203758,4.203758,0.537649,2.869858,0.182281,0.000000,0.077695
9594,0.000000,9.678940,9.678940,2.619100,6.268258,0.268431,1.231772,6.164498,1.000000,2.502674,2.502674,0.272121,1.485502,0.114784,0.000000,0.058930
9700,0.000000,13.035105,13.035105,5.629050,6.584724,0.248323,1.183319,3.708820,1.000000,1.626980,1.626980,0.207232,0.836265,0.087967,0.000000,0.052504
9826,0.000000,7.829484,7.829484,2.244279,4.977003,0.150354,0.136923,2.715990,1.000000,3.191793,3.191793,0.274585,2.017356,0.097018,0.000000,0.040761
9926,0.000000,7.298432,7.298432,1.873081,5.206792,0.071747,0.650613,4.041118,1.000000,27.976133,27.976133,26.942698,0.619163,0.145330,0.000000,0.023864
10000,0.000000,158.222672,158.222672,103.949036,26.499609,7.639349,40.578182,8.152617,1.000000,7.782962,7.782962,5.641143,0.891097,0.151258,0.000000,0.012418
10130,0.000000,159.310806,159.310806,103.057068,27.853664,7.607140,40.306633,10.069703,1.000000,8.399899,8.399899,4.475363,3.016715,0.130266,0.000000,0.011336
10230,0.000000,12.930888,12.930888,2.327302,9.702872,0.219540,1.299110,8.807739,1.000000,6.061749,6.061749,3.911541,1.713244,0.102160,0.000000,0.012275
10490,0.000000,36.220169,36.220169,4.890058,29.651760,0.636150,1.539073,16.614077,1.000000,14.241836,14.241836,4.821502,8.460670,0.118081,0.187692,0.023631
10600,0.000000,7.055104,7.055104,2.713767,3.788129,0.325885,0.918846,1.757895,1.000000,11.665202,11.665202,2.391821,8.992586,0.062581,0.061001,0.020920
10726,0.000000,7.254968,7.254968,3.197646,3.162704,0.495789,0.589122,2.694067,1.000000,5.224792,5.224792,1.048236,3.717633,0.044807,0.039014,0.017084
10826,0.000000,10.091793,10.091793,5.626589,1.562992,0.317200,1.306644,1.097005,1.000000,3.697398,3.697398,2.671297,0.823971,0.034399,0.058277,0.013840
10900,0.000000,114.592407,114.592407,74.356194,20.813839,4.518424,27.547888,9.152157,1.000000,2.124346,2.124346,1.458023,0.518449,0.039155,0.089268,0.009541
10994,0.000000,111.922005,111.922005,73.260910,19.938456,4.359837,27.256567,8.765244,1.000000,36.672920,36.672920,35.252728,1.301183,0.052693,8.076884,0.648878
11094,0.000000,27.031244,27.031244,4.988020,21.308720,0.121308,1.356594,18.113493,1.000000,20.204128,20.204128,19.518345,0.494845,0.064581,6.126887,0.132264
11200,0.000000,18.029442,18.029442,1.077145,16.371145,0.164032,0.231282,15.626660,1.000000,5.050596,5.050596,2.264248,2.366330,0.090309,0.900219,0.078166
11326,0.000000,17.884470,17.884470,0.858962,16.338604,0.252203,0.133147,15.547739,1.000000,13.207434,13.207434,8.124319,4.701688,0.098463,2.640421,0.115697
11426,0.000000,23.029978,23.029978,1.447078,20.452049,0.346186,1.042329,14.135240,1.000000,21.001831,21.001831,18.371788,2.359425,0.080066,6.223204,0.130402
11526,0.000000,11.486899,11.486899,2.813373,7.913212,0.272306,1.400535,4.284967,1.000000,7.935032,7.935032,4.541636,3.134969,0.078314,1.484413,0.110872
11626,0.000000,5.499548,5.499548,1.458861,3.534403,0.199984,1.082014,1.628405,1.000000,3.303075,3.303075,1.556613,1.340179,0.060209,0.441500,0.097068
11726,0.000000,2.236302,2.236302,0.517879,1.254999,0.153814,0.345688,0.278548,1.000000,2.081406,2.081406,0.951559,0.856233,0.042889,0.475182,0.079361
11826,0.000000,2.685475,2.685475,1.096664,1.145411,0.117207,0.904152,0.631440,1.000000,2.604083,2.604083,1.644462,0.618330,0.034507,0.712964,0.064822
11890,0.000000,26.461210,26.461210,3.279109,22.802872,0.109300,1.572192,17.521315,1.000000,2.492077,2.492077,1.322406,0.867726,0.038089,0.519290,0.047473
12000,0.000000,13.858324,13.858324,1.552250,12.019560,0.104358,0.735837,3.186735,1.000000,2.410023,2.410023,1.336581,0.736092,0.077546,0.288779,0.093686
12126,0.000000,7.185974,7.185974,1.308392,5.361121,0.094833,0.587968,2.619373,1.000000,1.830805,1.830805,0.908187,0.414175,0.205434,0.136180,0.134078
12226,0.000000,7.248951,7.248951,0.898225,6.040875,0.078016,0.345348,0.793227,1.000000,5.997035,5.997035,0.461956,5.020470,0.267888,0.021013,0.070114
12326,0.000000,9.770632,9.770632,0.940887,8.621534,0.109865,0.140758,3.494323,1.000000,3.493046,3.493046,0.323609,2.664608,0.292346,0.023958,0.045475
12426,0.000000,9.625428,9.625428,3.569153,5.844284,0.122898,2.092718,2.372052,1.000000,1.834987,1.834987,0.182890,1.159984,0.277385,0.030455,0.028925
12494,0.000000,4.878153,4.878153,1.352780,3.257078,0.083434,0.690490,1.728933,1.000000,2.499358,2.499358,0.370450,1.728978,0.190599,0.073629,0.498795
12594,0.000000,13.570655,13.570655,1.301029,12.029459,0.084573,0.930120,9.661852,1.000000,2.325463,2.325463,0.394198,1.615682,0.132066,0.064514,0.179621
12700,0.000000,164.008240,164.008240,118.568077,23.343430,3.797899,48.560150,5.623209,1.000000,8.976480,8.976480,5.399355,3.335219,0.081879,0.000000,0.065890
