,0,1
0,0,0
1,0,0
2,-0.45177,-0.080065
3,0.12726,-0.16639
4,-0.14941,0.032558
5,-0.21285,-0.17587
6,-0.18271,-0.27655
7,-0.05617,-0.035199
8,0.61871,-0.15408
9,0.58767,0.0036476
10,0.098145,-0.099734
11,0.91064,0.014744
12,0.28522,-0.52694
13,0.47123,-0.11465
14,0.33268,0.21946
15,0.22789,0.27271
16,0.1643,0.33516
17,0.42831,0.14066
18,0.40679,0.15949
19,0.53827,0.14078
20,0.39152,0.10749
21,0.066792,-0.094942
22,0.34589,-0.086929
23,0.39403,-0.088715
24,0.31013,-0.149
25,0.43497,0.090023
26,0.34394,0.51388
27,0.19119,-0.041111
28,0.24986,0.112
29,-0.036876,-0.2519
30,0.29892,0.18214
31,-0.21796,0.30446
32,-0.086109,-0.1743
33,-0.27949,0.37991
34,-0.65986,-0.099835
35,0.081945,0.081412
36,-0.2567,0.23238
37,-0.13568,0.13867
38,0.13214,0.56108
39,-0.39693,0.80268
40,0.0059298,0.46095
41,-0.24616,-0.036497
42,0.04219,0.0045926
43,-0.05629,-0.17508
44,-0.15751,-0.22207
45,-0.049906,-0.34938
46,-0.11672,-0.16853
47,0.088916,0.28404
48,0.16918,-0.06326
49,0.28323,-0.024599
50,-0.059815,0.2108
51,0.15111,0.32197
52,-0.25762,0.26806
53,-0.17291,0.37682
54,-0.14747,0.37848
55,0.20532,0.15041
56,-0.20714,0.22164
57,0.15622,0.05891
58,-0.13306,-0.11208
59,0.28828,0.093898
60,-0.25552,0.028634
61,0.1251,-0.007191
62,-0.004743,0.061196
63,0.2822,0.22058
64,0.33469,0.17906
65,0.19175,0.15465
66,-0.1118,0.15363
67,-0.063763,0.10263
68,-0.27459,-0.083118
69,0.41075,0.14463
70,-0.21934,0.32301
71,0.33306,0.051312
72,-0.11485,0.47068
73,0.33277,0.16328
74,-0.17712,0.1107
75,-0.13178,-0.10258
76,-0.38621,-0.17736
77,-0.0068738,-0.28206
78,-0.22927,-0.077513
79,-0.065574,0.23199
80,0.16267,0.18279
81,0.041797,0.29035
82,0.12508,0.42107
83,0.35095,-0.27341
84,-0.06326,-0.058662
85,0.30847,-0.0075435
86,0.16623,0.1287
87,0.12212,-0.211
88,0.13846,-0.25983
89,-0.15826,0.012004
90,-0.17619,-0.070479
91,-0.075776,0.084827
92,0.04878,-0.17229
93,0.48409,-0.37871
94,-0.060579,-0.033704
95,0.27345,0.14944
96,-0.019443,0.37945
97,-0.25182,-0.12477
98,-0.1227,-0.24139
99,-0.49712,-0.41628
100,0.057015,-0.22312
101,-0.42046,-0.29561
102,0.0064797,0.099964
103,-0.31849,-0.31015
104,0.032095,-0.45254
105,-0.2761,-0.20198
106,0.086431,0.067285
107,0.018465,-0.17405
108,0.38744,-0.30929
109,0.0091519,-0.18839
110,-0.23304,-0.4645
111,-0.18665,-0.22001
112,0.13574,-0.015228
113,-0.29418,-0.0065456
114,0.23064,-0.38751
115,-0.099216,-0.26368
116,0.39274,-0.24338
117,-0.40251,0.21263
118,0.11658,0.21935
119,-0.43117,0.11885
120,0.59677,0.35328
121,0.009137,-0.043865
122,0.57509,-0.016543
123,-0.14956,0.26712
124,0.17887,0.40402
125,-0.11139,0.36111
126,0.29798,0.3234
127,-0.081469,0.084355
128,0.28115,0.2474
129,-0.42298,-0.0498
130,0.027508,0.14446
131,-0.37346,0.10419
132,-0.339,0.29843
133,-0.11903,0.055038
134,-0.12501,0.20893
135,-0.065322,0.25322
136,-0.33577,-0.036604
137,0.15926,0.067251
138,-0.081924,0.33903
139,0.011625,0.17155
140,-0.035222,0.074701
141,-0.050109,0.15552
142,-0.37266,0.022129
143,-0.11945,0.12858
144,-0.36455,0.028907
145,-0.29202,0.033614
146,-0.44276,0.11138
147,-0.297,0.32374
148,-0.65161,0.24215
149,-0.020814,0.49128
150,-0.22387,-0.16073
151,-0.0368,-0.055886
152,-0.12257,-0.0073017
153,-0.19029,-0.18113
154,0.12342,-0.3291
155,-0.10945,-0.044461
156,-0.092139,0.038935
157,0.20634,0.064558
158,-0.07039,0.11267
159,-0.021675,-0.11613
160,-0.096113,-0.12346
161,-0.19003,-0.093943
162,-0.29109,-0.19983
163,0.38107,-0.032346
164,0.22366,0.42014
165,0.27441,0.065141
166,-0.11215,0.23957
167,-0.047103,-0.098027
168,-0.096092,0.27661
169,0.12512,-0.10279
170,-0.30193,0.055951
171,-0.43361,-0.1219
172,-0.48415,0.064835
173,-0.19852,0.0038257
174,-0.18365,0.0056996
175,-0.027287,0.59286
176,-0.12061,0.11228
177,0.011033,0.15411
178,-0.15443,0.6207
179,0.16248,0.049765
180,-0.33331,0.25465
181,0.13891,-0.10348
182,-0.3225,0.21567
183,-0.029771,0.13108
184,-0.053673,0.22599
185,0.18757,0.060838
186,-0.23161,0.11857
187,0.32275,0.3541
188,0.0485,-0.28967
189,0.15265,-0.3717
190,0.00047125,-0.12352
191,0.032853,-0.2547
192,-0.057101,-0.18586
193,0.015325,-0.42467
194,-0.01676,-0.388
195,0.1712,-0.32097
196,0.31414,-0.35115
197,0.2104,-0.37795
198,0.13616,-0.30578
199,0.24385,-0.38644
200,0.12911,0.052647
201,-0.071116,-0.25392
202,0.24729,0.27255
203,0.050583,-0.01665
204,0.15574,-0.2425
205,0.14391,-0.22407
206,0.14454,0.048775
207,-0.10189,0.18588
208,0.029615,0.11615
209,-0.077192,0.14112
210,-0.099314,0.20626
211,0.28789,-0.18108
212,-0.19601,-0.14752
213,0.027582,-0.46126
214,-0.23765,-0.30383
215,-0.24482,-0.023927
216,-0.18175,0.073152
217,-0.1954,0.48204
218,0.1956,0.24079
219,-0.12794,-0.23857
220,-0.12784,0.29061
221,0.24394,0.32499
222,0.20741,0.07159
223,0.096784,0.13816
224,-0.18785,0.22547
225,-0.059319,0.19476
226,-0.13104,0.26227
227,0.01245,0.12132
228,-0.11651,0.093217
229,0.083258,0.079168
230,0.02845,-0.10762
231,-0.20566,0.25738
232,-0.19593,0.082693
233,-0.27065,0.22185
234,-0.22659,-0.065709
235,-0.2221,-0.19696
236,-0.13301,-0.11012
237,-0.73019,-0.13399
238,-0.23093,0.16334
239,-0.1397,0.15975
240,-0.34277,0.20467
241,0.08262,-0.17517
242,-0.093061,-0.22267
243,0.026203,-0.083692
244,-0.0074196,-0.14759
245,-0.30065,0.18224
246,-0.050683,0.31161
247,0.1654,0.044934
248,0.010868,0.25532
249,0.092059,0.39021
250,-0.13219,0.27134
251,0.026647,0.51126
252,-0.016963,0.47126
253,0.096905,0.33358
254,-0.073353,0.40304
255,-0.0061737,0.26681
256,0.36744,0.10436
257,-0.41801,0.1668
258,0.58781,0.094834
259,-0.082713,-0.0016332
260,0.48565,0.37252
261,-0.32562,0.19293
262,0.092254,0.69775
263,-0.2092,0.25846
264,0.10975,0.35579
