Time (ms),Upper body mq,Left Hand mq,Right Hand mq,Upper body mq.1,Left Hand mq.1,Right Hand mq.1
450,143.76676899999998,39.142689000000004,14.385435000000001,9.523678,0.0,0.020246
574,138.97653200000002,39.632065000000004,0.0,16.134815,0.0,0.0045049999999999995
638,9.646563,2.704918,0.0,7.549394,0.0,0.009867
870,22.416926999999998,4.442141,0.0,53.140319999999996,20.985151000000002,0.039493
970,15.582435999999998,3.8246290000000003,0.0,19.775337,5.9671449999999995,0.042855000000000004
1074,8.473763,1.214221,0.0,29.315604999999998,12.093011,0.028214
1274,21.399454000000002,2.5589009999999996,0.0,0.0,0.0,0.0
1338,27.057575,2.1118069999999998,9.300312,26.940727000000003,11.187569,0.062466999999999995
1438,13.945158,0.7594489999999999,4.4903949999999995,37.996868,10.937814,0.015111000000000001
1550,8.020109,0.593345,0.0,10.702127,3.12648,0.021525
1674,5.43074,1.006176,0.0,5.166424,0.7416590000000001,0.023364
1774,16.794922,5.816826,0.0,6.384369,1.396768,0.021616999999999997
1874,12.415747,3.109049,0.0,3.731645,0.666397,0.011752
1970,23.802549,0.8838159999999999,0.0,9.551971,0.0,0.0046619999999999995
2038,14.329114,0.748208,0.0,37.3913,15.570946,0.0016
2138,13.374839000000001,6.683955,0.0,32.309246,15.624668,0.179082
2234,3.036543,0.972504,0.0,107.06281299999999,52.730267000000005,0.102284
2350,18.790512,5.379188,0.0,0.0,0.0,0.0
2470,6.623475,2.242651,0.0,0.0,0.0,0.0
2570,6.94987,0.774127,0.0,30.639526,6.428865,0.183303
2670,4.106939,0.37234,0.0,17.267454,2.7316409999999998,0.051184
2770,5.27203,2.14554,0.0,27.081518,1.9297950000000001,0.083319
2870,4.397757,1.1702299999999999,0.0,10.009964,0.160216,0.116579
2934,19.937092,0.397868,0.0,3.7127440000000003,0.135274,0.193923
3050,15.908192000000001,0.309504,0.0,13.179646,0.40345,0.472186
3170,19.189976,3.192541,0.0,53.149651,17.273123000000002,0.514033
3250,137.450027,37.021877,0.0,10.534046,0.0,0.224343
3370,141.655624,36.038559,0.0,9.28624,0.0,0.26093099999999997
3466,18.104592999999998,0.575896,4.830188,18.237807999999998,0.0,0.151057
3566,8.709258,0.522158,1.361694,17.248466,0.0,0.094501
3634,13.73306,4.382266,0.766397,7.960387,0.0,0.06454
3734,12.993028,0.424422,6.429266999999999,4.095672,0.0,0.049544
3850,11.049223,2.247873,2.102732,17.77586,0.0,0.060867
3970,15.136470999999998,1.128195,9.453493,6.768149,0.0,0.045995
4070,60.802986,4.5342970000000005,35.410332000000004,17.243707999999998,0.0,0.027417
4170,31.403801,3.4003980000000005,6.864841,11.852152,0.0,0.062723
4270,33.449795,1.383941,5.401934,9.191645,0.0,0.051324
4366,13.362982,0.7473920000000001,2.405595,6.182084,0.0,0.035275
4575,310.894165,70.870743,27.646212,0.0,0.0,0.0
4734,295.55767799999995,70.332764,22.332442999999998,33.979172,0.0,0.045574
4802,13.878964000000002,0.816399,2.085486,0.0,0.0,0.0
4900,142.367737,34.521301,11.649099,81.733536,33.810673,2.05425
4998,138.81814599999998,33.673271,12.581966,41.343555,11.206642,0.718545
5100,98.61251800000001,22.066467000000003,13.530247,7.022525999999999,0.0,0.764748
5234,111.109932,21.534338,15.455291,10.574394,0.0,0.46373500000000006
5350,14.27331,3.211684,0.0,9.613738,0.0,0.21170999999999998
5466,20.603809,2.553906,0.0,73.020653,0.0,0.11270999999999999
5566,42.849113,2.808872,0.0,31.042991999999998,0.0,1.8786990000000001
5666,107.98031599999999,31.964281,0.0,66.993713,18.046574,0.475575
5750,32.408638,0.0,0.0,0.0,0.0,0.0
5900,152.814865,0.0,0.0,0.0,0.0,0.0
6000,150.776321,0.0,0.0,47.565449,15.204872,1.1849809999999998
6134,22.952587,0.0,0.0,43.599602000000004,17.510123999999998,0.141309
6234,11.754192999999999,0.0,0.0,46.218047999999996,21.857447,0.09819299999999999
6334,8.888978,0.0,0.0,19.122522,8.093548,0.08899800000000001
6402,5.485103,0.0,0.0,4.830388,0.0,0.081362
6502,4.943633999999999,0.0,0.0,15.276454999999999,0.0,0.055090999999999994
6598,5.085161,0.0,0.0,14.516344,3.607592,0.044373
6700,3.6334989999999996,0.0,0.0,17.405248999999998,4.824522,2.420692
6834,13.166185999999998,0.0,0.0,20.238325,6.490546,0.32145
6900,111.338264,0.0,0.0,9.368085,0.0,1.1597680000000001
7000,49.830208,0.0,8.898899,8.080995,0.0,0.716724
7100,14.243163000000001,0.0,2.01946,10.918898,4.338336,0.337936
7200,31.360275,0.0,6.7009490000000005,13.771254,4.815913,0.166294
7298,194.523575,49.455757,16.025921,68.482742,32.31295,0.102823
7400,46.380866999999995,16.459239999999998,0.0,20.638113,5.755052,0.081714
7500,265.294586,64.619461,21.882296,33.795578000000006,15.047298000000001,0.040971
7630,186.45114099999998,34.615612,15.742723000000002,0.0,0.0,0.0
7730,18.134832,1.223851,3.090209,13.485541,3.030375,0.029929
7830,25.413681,2.356804,4.280978,12.523007000000002,0.0,0.007181999999999999
7930,23.711662,1.364768,8.902667,22.034788,0.0,3.1644639999999997
7998,23.857982999999997,0.519357,9.366425999999999,0.0,0.0,0.0
8098,15.871541,0.705278,2.0112740000000002,0.0,0.0,0.0
8200,10.670630000000001,0.965867,0.890785,25.024708,0.0,2.4907220000000003
8330,15.679592000000001,0.490991,3.052038,18.879526000000002,0.0,0.201764
8430,20.47295,0.23717199999999997,7.168652000000001,16.165337,0.0,0.113015
8530,6.922160000000001,0.170881,1.708852,8.389428,0.0,0.060976999999999996
8600,125.759346,28.124989000000003,6.575634,6.06869,0.0,0.037436000000000004
8700,41.477748999999996,9.250167,4.967834,3.093738,0.0,0.022992
8800,21.349106,0.0,9.354348,4.107851999999999,0.0,0.012276
8900,170.414154,37.876041,17.154285,3.236407,0.0,0.007164
9026,38.283852,2.015314,18.168541,2.101687,0.0,0.046836
9126,16.501163000000002,1.006734,8.883326,1.834805,0.0,0.042667000000000004
9200,127.73353600000002,28.714190000000002,6.117844,1.7485990000000002,0.0,0.081152
9326,117.24213400000001,30.226057,4.994134,2.149509,0.0,0.171504
9426,9.873947,1.40936,3.032406,2.3998150000000003,0.0,0.092796
9494,4.80176,0.884433,0.9648909999999999,4.2037580000000005,0.0,0.077695
9594,9.678939999999999,1.2317719999999999,6.164498,2.5026740000000003,0.0,0.058929999999999996
9700,13.035105,1.183319,3.70882,1.6269799999999999,0.0,0.052503999999999995
9826,7.829484,0.136923,2.71599,3.191793,0.0,0.040761
9926,7.298432000000001,0.650613,4.041118,27.976133,0.0,0.023864
10000,158.222672,40.578182,8.152617,7.7829619999999995,0.0,0.012418
10130,159.310806,40.306633000000005,10.069703,8.399899000000001,0.0,0.011336
10230,12.930888000000001,1.29911,8.807739,6.061749,0.0,0.012275
10490,36.220169,1.539073,16.614076999999998,14.241836,0.187692,0.023631
10600,7.055103999999999,0.9188459999999999,1.757895,11.665202,0.061001,0.020919999999999998
10726,7.254967999999999,0.589122,2.694067,5.224792,0.039014,0.017084000000000002
10826,10.091793,1.3066440000000001,1.097005,3.697398,0.058276999999999995,0.01384
10900,114.59240700000001,27.547888,9.152157,2.124346,0.089268,0.009541
10994,111.922005,27.256566999999997,8.765244000000001,36.67292,8.076884,0.648878
11094,27.031244,1.356594,18.113493,20.204128,6.126887,0.13226400000000002
11200,18.029442,0.23128200000000002,15.626660000000001,5.050596,0.9002190000000001,0.078166
11326,17.88447,0.13314700000000002,15.547739000000002,13.207434,2.640421,0.11569700000000001
11426,23.029978,1.042329,14.13524,21.001831,6.223204,0.130402
11526,11.486899000000001,1.400535,4.284967,7.9350320000000005,1.484413,0.110872
11626,5.499548,1.082014,1.6284049999999999,3.303075,0.4415,0.097068
11726,2.2363020000000002,0.345688,0.278548,2.0814060000000003,0.475182,0.079361
11826,2.685475,0.9041520000000001,0.63144,2.604083,0.712964,0.064822
11890,26.461209999999998,1.572192,17.521314999999998,2.492077,0.5192899999999999,0.047473
12000,13.858324,0.735837,3.1867349999999997,2.410023,0.288779,0.093686
12126,7.185974000000001,0.587968,2.619373,1.830805,0.13618,0.134078
12226,7.248950999999999,0.345348,0.793227,5.9970349999999994,0.021013,0.070114
12326,9.770632,0.140758,3.4943230000000005,3.493046,0.023958,0.045475
12426,9.625428,2.092718,2.372052,1.834987,0.030455,0.028925
12494,4.878153,0.6904899999999999,1.7289330000000003,2.499358,0.073629,0.498795
12594,13.570654999999999,0.9301200000000001,9.661852,2.325463,0.064514,0.179621
12700,164.00824,48.56015,5.623208999999999,8.97648,0.0,0.06589
12800,173.451477,46.838531,13.282529,5.061262999999999,0.0,0.020386
12922,33.714638,0.663748,27.335375,4.532725,0.0,0.06567100000000001
13022,29.587985999999997,0.8238049999999999,8.829678999999999,5.796579,0.0,0.11020899999999999
13122,24.648003,1.153741,10.135209,8.905178,0.0,0.143621
13222,12.761223,0.581145,4.6449169999999995,13.344601999999998,0.0,0.11922
13290,9.122263,0.51799,1.4580799999999998,5.505632,0.0,0.09087999999999999
13390,7.6012889999999995,0.90079,0.77905,10.062795,0.0,0.06076
13490,6.64641,0.568495,0.671181,5.438614,0.0,0.043842
13600,6.057452,0.409654,1.13895,3.6798309999999996,0.0,0.042762
13726,5.991239,0.311591,0.44574899999999995,6.0881099999999995,0.39768600000000004,0.031199
13826,7.992857000000001,0.127297,1.1982190000000001,6.392588,0.12028699999999999,0.018092
13900,140.82663,38.970608,11.374999,4.959264,0.0,0.014499000000000001
14022,139.26281699999998,39.103127,11.248457,10.309736000000001,0.0,0.013980000000000001
14100,145.27711499999998,40.386542999999996,11.101962,7.502182,0.0,0.31688299999999997
14186,137.698425,41.414543,4.351475,9.524635,0.0,0.171749
14300,6.454644999999999,0.505084,0.0,15.03774,0.0,0.074794
14422,17.553034,0.583118,12.832946000000002,15.404704999999998,0.0,0.022667
14522,12.396833,0.205798,9.145044,8.068013,0.0,0.010719
14622,6.694723,0.21489699999999998,1.657095,15.196641,0.0,0.013022999999999998
14722,10.381035,2.552566,1.1211950000000002,13.315567000000001,0.0,0.024412
14822,5.206288,0.46996800000000005,1.378902,22.92561,0.0,0.033649
14890,3.766193,0.242483,0.790243,8.552648,0.0,0.042973000000000004
14990,8.972894,3.2784809999999998,0.457639,11.492725,0.0,0.054536
15100,5.349921,0.47864399999999996,0.29489299999999996,16.277645,0.0,0.025563
15200,142.08230600000002,38.629978,10.317538,48.686485,0.0,21.997892
15300,143.082794,41.419261999999996,9.664382000000002,32.77961,0.0,18.005714
15400,148.9841,42.585285,12.187223,14.344676000000002,0.0,4.4095580000000005
15500,150.481689,41.237564,14.442769,13.412167000000002,0.0,1.431878
15650,11.292138000000001,0.273008,1.2839120000000002,10.825233,0.0,0.123476
15786,14.592986999999999,0.282603,3.860129,3.411459,0.0,0.473836
15900,18.347389,7.8495,1.041302,26.127604,0.0,0.405035
16022,12.194804,1.689684,0.44375299999999995,22.564945,0.0,0.24098699999999998
16122,14.158045000000001,5.730225,0.258305,7.562942999999999,0.0,0.080009
16218,17.124874,4.455373000000001,3.141885,3.784464,0.0,0.039093
16318,11.348886,0.805128,1.41445,9.164039,0.0,0.025327000000000002
16386,6.9843589999999995,0.40065300000000004,0.575299,4.63649,0.0,0.015746
16486,15.394031,3.4552650000000003,0.344808,3.9826980000000005,0.0,0.078465
16600,6.64389,0.997762,0.844299,2.378618,0.0,0.12829100000000002
16722,6.606724000000001,0.950937,1.223773,3.316995,0.0,0.124778
16800,134.26799,40.163612,8.810137,3.094225,0.0,0.082964
16922,131.580276,40.123234000000004,7.844423,4.303812000000001,0.0,0.058421
17018,8.706896,3.178915,1.5149270000000001,2.027819,0.0,0.02226
17118,5.283279,1.558502,0.23548899999999998,2.803201,0.0,0.023691
17186,10.272658999999999,3.7443690000000003,0.263527,1.472125,0.0,0.025741000000000003
17300,11.535785,3.2664470000000003,1.8116860000000001,7.870396,0.0,0.007514
17422,11.838714999999999,1.109502,3.085386,8.152122,0.0,0.006529000000000001
17518,5.286339,0.79364,0.574869,13.922488000000001,0.0,0.004883
17600,6.521903,0.9052120000000001,0.20283299999999999,6.603300999999999,0.0,0.013003
17754,5.817568,0.673966,0.11724200000000001,5.180979,0.0,0.020198
17850,7.900546,1.011095,0.784505,21.868828,0.0,0.13988399999999998
18000,9.176706,2.721775,1.530341,17.61994,0.0,0.10560599999999999
18100,6.109523,1.389501,0.0,5.264353,0.0,0.053167
18218,20.72588,6.24478,0.0,24.839336,0.0,0.028022000000000002
18322,17.896753,10.47472,0.0,11.130672,0.0,0.02939
18422,10.682906,5.958211,0.0,11.664189,0.0,0.066846
